ra,dec,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,e_bv,d,mag_fuv
272.7873681,1.06749084,21.51065445,24.01818085,13.721,12.105,11.469,10.703,8.915,8.245,7.993,0.3,0.766819537,415,24.01818085
273.1600853,0.667633478,18.82971954,22.96008873,13.7,12.868,12.589,12.318,11.055,10.908,10.687,0.3,0.752583563,415,22.96008873
270.7598691,-0.342590423,21.79964447,23.0402565,,,,,16.68,15.984,15.641,0.3,0.451924086,415,23.0402565
270.8916173,-0.34274154,20.15019608,22.5099659,12.657,11.422,10.957,10.494,8.806,8.164,8.053,0.3,0.464265227,415,22.5099659
270.7808092,-0.367669293,20.78972626,22.28792572,15.085,13.964,13.53,13.013,11.386,10.778,10.631,0.3,0.457499266,415,22.28792572
275.0902513,0.650839188,21.88306427,24.08230591,,,,,16.201,15.008,14.936,0.3,1.077688217,415,24.08230591
274.8916221,0.528521105,21.54257774,24.30574226,,,,,16.631,17.221,15.695,0.3,0.993572831,415,24.30574226
277.6612543,0.075288196,23.03415298,24.43445969,,,,,16.01,15.489,14.874,0.3,2.10306716,415,24.43445969
278.0681743,-0.11721338,19.47107315,21.93759537,,,,,16.615,15.887,14.74,0.3,2.29716444,415,21.93759537
277.9307028,-0.239291652,21.91263199,23.27634048,,,,,16.911,15.766,15.292,0.3,2.323605299,415,23.27634048
274.0421524,0.918494578,20.98926926,23.09352112,,,,,15.676,14.417,14.24,0.3,0.901367366,415,23.09352112
274.3210111,0.858997628,22.2115097,99,,,,,16.316,15.844,15.485,0.3,0.904459,415,---
273.7552913,0.812746647,22.1547718,23.21404266,,,,,16.845,16.162,16.111,0.3,0.76413101,415,23.21404266
271.3497671,-1.269486849,20.20038795,24.13723755,10.972,9.407,,,6.351,5.566,5.346,0.3,0.745532215,415,24.13723755
271.4546928,-1.327183703,20.85795593,21.33663177,,,,,16.417,15.666,15.054,0.3,0.81981504,415,21.33663177
271.5186396,-1.436948801,21.95817566,99,,,,,15.876,15.292,14.991,0.3,0.983616889,415,---
270.5555404,-0.4412484,21.70649147,22.72439575,,,,,15.588,15.01,14.814,0.3,0.528019845,415,22.72439575
270.9476069,-0.488218106,21.98485374,99,,,,,16.076,15.307,15.066,0.3,0.503451824,415,---
270.4118829,-0.49098446,19.74652481,22.30537605,12.019,10.723,10.27,9.783,8.352,7.793,7.587,0.3,0.525339663,415,22.30537605
274.8742188,0.361922482,22.04980659,23.84384727,,,,,15.976,15.173,15.092,0.3,0.997502983,415,23.84384727
272.6597532,0.853718687,22.01676559,99,,,,,16.35,15.646,15.284,0.3,0.645853817,415,---
272.6496913,0.633981839,21.2070961,23.77420807,14.717,13.537,13.012,12.585,11.276,10.685,10.52,0.3,0.544182181,415,23.77420807
272.9587891,0.330321133,19.72276306,21.59038353,,,,,15.707,15.015,14.593,0.3,0.516329408,415,21.59038353
