n,objid,ra,dec,e_bv,mag_nuv,mag_fuv,Bmag,Vmag,rmag,imag,Jmag,Hmag,Kmag,Av,d
163,6.37545E+18,273.0644346,0.238136799,0.516960979,21.76973152,22.85369492,13.8,12.406,11.886,11.305,9.705,9.008,8.858,0.3,415
164,6.37545E+18,273.747814,-0.30053827,0.816749692,21.47882462,21.29244804,,,,,13.357,11.902,11.745,0.3,415
165,6.37545E+18,273.7184305,-0.317236047,0.795178592,22.14365005,30.197052,,,,,16.155,15.406,15.242,0.3,415
166,6.37545E+18,270.5014194,-1.5188382,0.616972446,19.52503395,18.98939133,,,,,13.761,13.022,12.81,0.3,415
167,6.37545E+18,270.3542327,-1.604973685,0.66062963,21.45999527,24.72087479,,,,,16.69,16.164,15.69,0.3,415
168,6.37545E+18,271.6080355,-0.990386411,0.769872069,21.53170586,22.29532623,14.389,13.026,12.489,11.675,10.161,9.451,9.281,0.3,415
169,6.37545E+18,271.1726799,-1.638751551,1.051132917,21.43694496,23.28183746,15.307,14.103,,,11.052,10.207,9.863,0.3,415
170,6.37545E+18,271.1925633,-1.78931211,1.173693419,21.60614777,---,,,,,15.736,15.045,14.673,0.3,415
171,6.37545E+18,271.3741173,-1.780054279,1.263215423,22.04405594,24.9620533,14.761,13.047,12.314,11.429,9.249,8.467,8.231,0.3,415
172,6.37545E+18,271.0902905,-1.91256747,1.098077178,20.93421936,21.19491005,16.661,15.134,14.419,13.695,11.63,10.956,10.757,0.3,415
173,6.37545E+18,270.6399048,-1.965321236,0.773465991,21.53817177,22.80940056,,,,,16.676,15.716,15.497,0.3,415
174,6.37545E+18,272.0589859,0.128883451,0.556016505,21.49931908,23.03822517,,,,,15.709,15.421,15.165,0.3,415
175,6.37545E+18,272.2161791,0.1148653,0.567148685,21.59955978,23.24394226,,,,,15.719,15.367,14.934,0.3,415
176,6.37545E+18,272.3137278,0.048839144,0.623671293,21.75685883,22.73477936,,,,,16.582,16.7,15.94,0.3,415
177,6.37545E+18,273.1257694,0.174106881,0.580321014,21.70944786,22.17391777,,,,,16.382,15.796,14.927,0.3,415
178,6.37545E+18,273.6198068,0.160240387,0.665836871,21.27904701,24.07164764,13.203,11.681,11.078,10.485,8.638,7.972,7.825,0.3,415
179,6.37545E+18,273.2657464,0.102429465,0.643125951,21.33843613,21.92019272,,,,,15.532,14.167,13.28,0.3,415
180,6.37545E+18,273.0253019,0.062737687,0.590108633,22.00633621,23.47743225,,,,,16.292,15.846,15.54,0.3,415
181,6.37545E+18,273.6350014,0.057231782,0.693581104,21.61670113,22.75247765,,,,,15.13,14.871,14.498,0.3,415
182,6.37545E+18,274.0113839,1.751379361,0.684769094,21.03551865,21.59099197,16.987,15.969,15.564,,13.69,12.988,12.763,0.3,415
183,6.37545E+18,270.4841551,-2.134844915,0.754997194,20.46092987,24.07600403,11.187,9.464,,8.334,6.725,6.011,5.799,0.3,415
184,6.37545E+18,270.3850801,-2.209883613,0.757037342,21.17077446,21.92306519,,,,,16.249,15.541,15.411,0.3,415
185,6.37545E+18,270.6798064,-2.245446215,0.89072907,22.18123627,23.06364059,,,,,12.435,11.682,11.436,0.3,415
186,6.37545E+18,271.5368718,-2.100880533,1.35458684,22.2377243,---,,,,,15.996,15.143,14.955,0.3,415
187,6.37545E+18,271.507333,-2.287981918,1.358445644,21.68507576,---,,,,,15.864,15.308,15.02,0.3,415
188,6.37545E+18,272.5650262,-0.011144299,0.642744601,21.60241508,---,,,,,14.536,13.708,13.58,0.3,415
189,6.37545E+18,272.7042423,-0.041910532,0.632847011,21.29007721,22.51639366,14.234,12.685,12.091,11.4,10.246,9.489,9.255,0.3,415
190,6.37545E+18,272.9670808,-0.001379753,0.620891571,21.67941093,24.59643555,16.618,15.105,14.369,,13.077,12.623,12.329,0.3,415
191,6.37545E+18,272.9602554,-0.05833171,0.628333032,22.14943314,---,,,,,16.357,15.815,15.242,0.3,415
192,6.37545E+18,272.8679155,-0.082509022,0.627334833,21.14003372,---,,,,,15.539,14.865,14.737,0.3,415
193,6.37545E+18,273.5139583,-0.102721006,0.712558091,21.97857666,---,,,,,15.698,14.832,14.517,0.3,415
194,6.37545E+18,274.3219441,1.570079792,0.769966006,21.54423141,23.14113235,12.878,11.272,10.712,10.079,8.283,7.591,7.423,0.3,415
195,6.37545E+18,274.0456033,1.459300403,0.797964334,20.62308884,23.1891098,13.032,11.439,10.871,10.219,8.374,7.745,7.542,0.3,415
196,6.37542E+18,271.2296303,0.797321455,0.432509422,20.46097565,24.48446655,12.077,10.698,10.199,9.69,8.081,7.491,7.258,0.3,415
197,6.37542E+18,271.1888244,0.754424642,0.425973445,21.24085808,23.54097748,12.794,11.463,10.966,10.429,8.804,8.175,7.997,0.3,415
198,6.37542E+18,271.4665188,0.615093006,0.436673582,21.57866287,22.7373333,,,,,16.361,15.914,15.28,0.3,415
199,6.37542E+18,270.7717429,0.423737856,0.425309271,21.18309402,23.53187561,,,,,16.043,15.598,15.016,0.3,415
200,6.37542E+18,270.9241302,0.099329092,0.407960236,20.2043705,20.73995209,,,,,15.321,15.188,14.923,0.3,415
201,6.37545E+18,274.1163767,1.374023868,0.73284477,21.79403305,22.83677101,,,,,14.311,14.012,13.761,0.3,415
202,6.37545E+18,274.4317955,1.298141655,0.91875416,22.30235863,23.80536461,16.126,14.418,13.779,12.899,11.023,10.345,10.111,0.3,415
203,6.37545E+18,274.0771844,1.078832855,0.85090518,21.5043602,21.95201111,,,,,16.174,16.059,15.736,0.3,415
204,6.37542E+18,271.225607,0.750823288,0.415924281,21.4744873,22.13707733,13.578,12.261,11.764,11.172,9.488,8.831,8.635,0.3,415
205,6.37542E+18,271.2034524,0.72973949,0.413176209,21.58427048,23.03191376,,,,,16.391,15.502,15.473,0.3,415
206,6.37542E+18,271.6910447,0.568223541,0.455068141,20.71931267,22.47046661,,,,,16.362,16.065,15.548,0.3,415
207,6.37545E+18,272.9330005,-0.149528868,0.654704273,20.0050869,23.73669052,11.263,9.891,9.422,8.855,7.372,6.713,6.542,0.3,415
208,6.37545E+18,273.2096397,-0.176918006,0.735009015,21.03164101,24.02341843,12.894,11.343,10.791,10.278,8.426,7.779,7.572,0.3,415
