casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag	Jmag	Hmag	Kmag	IR	FUV-NUV	NUV-H	NUV-R	J-K	H-K
-1016868505	6.37545E+18	271.0741617	-0.690589735	0.481578767	21.97614479	23.72158432							16.488	16.292	15.972		1.745439529	5.684144791	-100	0.516	0.32
-1016868473	6.37545E+18	271.1448222	-0.749555173	0.524780214	20.99600601	21.00473976							15.579	15.134	14.821		0.008733749	5.862006012	-100	0.758	0.313
-1016868419	6.37545E+18	271.028134	-0.89418233	0.533280015	20.73033524	22.60022545	-3.7	-3.3	13.92	12.527	12.033	11.371	9.526	8.872	8.699		1.869890213	11.85833524	8.697335236	0.827	0.173
-1016868417	6.37545E+18	271.0464853	-0.900136172	0.543847203	21.2965641	20.85794067							15.099	14.442	14.301		-0.438623428	6.854564102	-100	0.798	0.141
-1016868385	6.37545E+18	271.3205737	-1.019763495	0.695426881	21.81596565	99	-3.3	-7.4	16.778	15.693	15.13	14.52	12.749	12.156	11.987		-100	9.659965652	6.685965652	0.762	0.169
-1016868375	6.37545E+18	271.1809027	-0.965128565	0.575167298	20.02692795	21.87157059	-1.4	1.3	12.624	11.237	10.761	10.081	8.299	7.678	7.44	1	1.844642639	12.34892795	9.265927948	0.859	0.238
-1016871383	6.37542E+18	270.1891185	-0.681468086	0.520270586	21.01043892	21.47923851	9.1	3	16.174	15.261	14.894	14.426	13.36	12.884	12.669		0.468799591	8.126438919	6.116438919	0.691	0.215
-1016866166	6.37545E+18	270.0665895	-0.874369962	0.476616472	20.42204094	22.77444267	-9.1	-3.7	14.36	13.361	13.007	12.633	11.326	10.903	10.695		2.352401733	9.519040939	7.415040939	0.631	0.208
-1016866146	6.37545E+18	270.078738	-0.83373901	0.477459639	21.57416534	23.66462708	-1.1	4.5	16.356	15.514	15.222	14.898	13.584	13.172	12.963		2.090461731	8.402165344	6.352165344	0.621	0.209
-1016869086	6.37545E+18	270.5974783	-0.043644101	0.365749061	21.46653557	22.82062531	-1.3	1.5					14.499	14.216	13.826		1.354089737	7.250535568		0.673	0.39
-1016869079	6.37545E+18	270.6110761	-0.023456376	0.368863523	21.60391235	22.1993084	-0.2	-5.8					14.707	14.494	14.256		0.595396042	7.109912354		0.451	0.238
-1016869059	6.37545E+18	270.4720065	-0.140998536	0.389979154	22.00477409	25.08080101	-3.8	-3.7					15.113	14.838	14.607		3.076026917	7.166774094		0.506	0.231
-1016869025	6.37545E+18	270.8177809	-0.193965795	0.398808211	21.33565331	22.89984512	3.4	-7	16.585	15.918	15.586	15.457	14.095	13.758	13.554		1.564191818	7.577653305	5.749653305	0.541	0.204
-1016869007	6.37545E+18	270.8293632	-0.230653906	0.408268094	21.95426178	23.98118019							16.265	15.617	15.429		2.026918411	6.33726178	-100	0.836	0.188
-1016875638	6.37545E+18	272.516479	-0.518103248	0.822646737	21.55768585	21.65478897							16.513	15.858	15.001		0.097103119	5.699685852	-100	1.512	0.857
-1016875486	6.37545E+18	272.7380149	-1.156572776	1.180814624	20.68926048	23.11385727	-0.9	-3.6	11.739	10.275	9.76	9.175	7.652	7.007	6.828	1	2.424596786	13.68226048	10.92926048	0.824	0.179
-1016875476	6.37545E+18	273.1406613	-1.203699664	1.347353935	21.98256111	23.12099838							16.197	15.63	14.969		1.138437271	6.352561111	-100	1.228	0.661
-1016871216	6.37545E+18	273.0342338	1.355509148	0.697749674	19.61824417	23.21271515	-2.6	-3.9	11.637	9.997			6.86	6.112	5.87	1	3.594470978	13.50624417		0.99	0.242
-1016871163	6.37545E+18	272.8695668	1.146473178	0.765728176	21.86050797	23.69394493							14.533	13.971	13.822		1.833436966	7.889507965	-100	0.711	0.149
-1016871153	6.37545E+18	273.3574867	1.134908432	0.787681043	21.72226143	99							15.013	14.374	14.274		-100	7.348261429	-100	0.739	0.1
-1016876236	6.37545E+18	274.8951677	0.96784511	1.0017519	21.23278427	22.06938934							16.025	15.431	14.399		0.836605072	5.801784271	-100	1.626	1.032
-1016876223	6.37545E+18	275.3214768	0.913056855	1.257100821	21.80117035	99	4.9	1.1					13.572	12.998	12.826		-100	8.803170349		0.746	0.172
-1016876217	6.37545E+18	274.5963559	0.90143877	1.023976207	21.88682556	99							14.582	13.864	13.735		-100	8.022825562	-100	0.847	0.129
-1016876201	6.37545E+18	274.8570189	0.841894627	1.015461445	19.72034073	23.97491646	11	-1.3	9.912	8.779	8.634	7.069	4.208	3.24	2.952	1	4.254575729	16.48034073	11.08634073	1.256	0.288
-1016829375	2.56522E+18	277.8954583	0.478280638	2.176544428	22.93976212	99							15.344	14.226	13.851		-100	8.713762115	-100	1.493	0.375
-1016829358	2.56522E+18	277.4637467	0.463490141	2.384798765	19.18130493	20.35384941	7.7	-4.4	14.411	13.447	12.997	12.371	10.544	10.14	9.851	1	1.172544479	9.041304932	6.184304932	0.693	0.289
-1016829352	2.56522E+18	277.5271691	0.432384502	2.350797176	22.73765755	99							16.739	15.348	15.211		-100	7.389657547	-100	1.528	0.137
