casjobsID	objid	ra	dec	e_bv	mag_nuv	mag_fuv	pmRA	pmDE	Bmag	Vmag	rmag	imag		Jmag	Hmag	Kmag					
							mas/yr	mas/yr	mag	mag	mag	mag		mag	mag	mag					
							--------	--------	------	------	------	------		------	------	------	FUV-NUV	NUV-H	NUV-R	J-K	H-K
-1016875334	6.3756E+18	270.031389	-1.879821405	0.587686479	21.96167755	22.17787743											0.216199875	-100	-100	-100	-100
-1016875328	6.3756E+18	270.0900393	-1.886013406	0.59171778	20.08648491	21.87427711	-3.5	-6.4	15.262	14.119	13.815	13.435		12.182	11.811	11.666	1.787792206	8.275484909	6.271484909	0.516	0.145
-1016875322	6.3756E+18	270.114053	-1.894439475	0.599108756	19.89649773	21.95349693	-33	-30.5	14.099	12.951	12.645	12.31		11.186	10.789	10.674	2.056999207	9.107497726	7.251497726	0.512	0.115
-1016875319	6.3756E+18	270.134881	-1.903901089	0.621457636	20.01948738	22.97139549	-3.5	-1.9	15.293	14.339	14.123	13.919		12.76	12.506	12.411	2.951908112	7.513487381	5.896487381	0.349	0.095
-1016875311	6.3756E+18	270.1129314	-1.927460019	0.603875279	21.76922035	99											-100	-100	-100	-100	-100
-1016875290	6.3756E+18	270.0277763	-1.965614815	0.583607733	21.52219963	99	2.9	11.7	16.226	15.069	14.917			13.134	12.709	12.59	-100	8.813199631	6.605199631	0.544	0.119
-1016875284	6.3756E+18	270.1197235	-1.979941711	0.604097009	21.90946198	99								16.692	15.732	15.222	-100	6.177461975	-100	1.47	0.51
-1016875275	6.3756E+18	270.0247177	-1.991167709	0.589906991	18.85900116	22.6847477	-4.3	-1.1	14.042	13.081	12.85	12.537		11.427	11.088	10.981	3.825746536	7.77100116	6.00900116	0.446	0.107
-1016875265	6.3756E+18	270.1262729	-2.012937194	0.605570376	20.69177628	99	-9.2	-0.9	15.295	14.14	13.764	13.336		12.188	11.756	11.632	-100	8.935776276	6.927776276	0.556	0.124
-1016875262	6.3756E+18	270.1706639	-2.017861116	0.618984938	21.62103653	22.15074348	1.9	-0.6	16.326	15.158	14.836	14.469		13.166	12.757	12.659	0.529706955	8.86403653	6.78503653	0.507	0.098
-1016875252	6.3756E+18	270.1427253	-2.029271772	0.605570376	21.978508	24.23160172	4.1	3.1	16.709	15.626	15.156	14.771		13.518	13.067	12.975	2.253093719	8.911507996	6.822507996	0.543	0.092
-1016875250	6.3756E+18	270.1026669	-2.031532319	0.599186063	22.17090034	24.32500458											2.154104233	-100	-100	-100	-100
-1016875248	6.3756E+18	270.1952529	-1.986769427	0.63128382	14.58205795	16.58359146	7.9	-1.1	10.895	10.342	10.377	10.199		9.469	9.344	9.25	2.001533508	5.238057953	4.205057953	0.219	0.094
-1016875243	6.3756E+18	270.1094909	-2.036252849	0.599186063	20.6582737	19.90726852											-0.751005173	-100	-100	-100	-100
-1016875237	6.3756E+18	270.120542	-2.051304801	0.619749427	21.43107986	22.24006653	11.7	-1.6	15.48	14.314	13.971	13.593		12.43	12.004	11.835	0.808986664	9.427079865	7.460079865	0.595	0.169
-1016875236	6.3756E+18	270.0814601	-2.052539652	0.601951957	21.51947594	22.66756439	0.6	-0.4	      	      	      			13.381	12.96	12.845	1.148088455	8.559475937	#ЗНАЧ!	0.536	0.115
-1016875235	6.3756E+18	270.0891208	-2.040453678	0.599186063	18.13788033	23.03545761	1.1	10	13.622	12.75	12.49	12.235		11.256	10.922	10.822	4.897577286	7.215880325	5.647880325	0.434	0.1
-1016875233	6.3756E+18	270.0579978	-2.056856653	0.601951957	21.22006035	24.82070923	-6.3	2.6	      	      	      			13.812	13.312	13.232	3.60064888	7.908060349	#ЗНАЧ!	0.58	0.08
-1016875232	6.3756E+18	270.1711967	-2.057737084	0.629499495	21.69067001	25.18561554	0.3	-1.6	16.869	15.972	15.69	15.064		14.844	14.389	14.528	3.494945526	7.301670013	6.000670013	0.316	-0.139
-1016875229	6.3756E+18	270.1952642	-2.055182293	0.631488562	21.09276199	21.0733757											-0.019386292	-100	-100	-100	-100
-1016875227	6.3756E+18	270.1497364	-2.063558687	0.629499495	19.47017288	21.62283325	-10.8	-9.5	14.847	13.746	13.388	12.761		12.323	11.993	11.934	2.15266037	7.477172882	6.082172882	0.389	0.059
-1016875219	6.3756E+18	270.0083935	-2.085309672	0.601936758	21.46970177	24.47277832	4.2	13.8	16.732	15.635	15.213	14.653		13.453	13.029	12.881	3.003076553	8.440701767	6.256701767	0.572	0.148
-1016875215	6.3756E+18	270.166041	-2.091091179	0.658526957	20.92826653	24.47161865	-10	4.9	16.417	15.702	      			14.085	13.802	13.7	3.543352127	7.126266525	#ЗНАЧ!	0.385	0.102
-1016875214	6.3756E+18	270.1933537	-2.064315508	0.657065392	18.06378555	99	-0.6	5.2	13.125	12.236	12.028	11.799		10.826	10.558	10.459	-100	7.505785553	6.035785553	0.367	0.099
-1016875213	6.3756E+18	270.1084815	-2.091592279	0.62168467	19.54046822	21.36319733	0.4	0.9	14.429	13.375	13.064	12.703		11.519	11.131	11.041	1.822729111	8.409468216	6.476468216	0.478	0.09
-1016875202	6.3756E+18	270.0108909	-2.115694781	0.621237397	21.18372917	23.07820129	0.5	1.9	15.562	14.403	14.083	13.711		12.449	12.072	11.938	1.894472122	9.111729172	7.100729172	0.511	0.134
-1016875200	6.3756E+18	270.0668113	-2.122785067	0.656429291	22.16158295	99											-100	-100	-100	-100	-100
-1016875197	6.3756E+18	270.1252562	-2.097019523	0.660547972	15.88916779	21.70347786	-5.3	-14.5	11.649	10.905	10.734	10.578		9.751	9.479	9.386	5.814310074	6.410167786	5.155167786	0.365	0.093
